timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
0,0.60437,0.50906,-0.45108,0.99998,0.62031,0.49693,-0.42552,0.99996,0.62817,0.49701,-0.42561,0.99996,0.63527,0.49751,-0.42579,0.99996,0.59276,0.49776,-0.42356,0.99996,0.58404,0.49845,-0.42346,0.99995,0.57672,0.49924,-0.42354,0.99995,0.65106,0.503,-0.2368,0.99996,0.56844,0.50476,-0.2289,0.99995,0.62334,0.52273,-0.37563,0.99999,0.59106,0.52446,-0.37356,0.99999,0.72208,0.57839,-0.11189,0.99997,0.50263,0.57376,-0.09185,0.99991,0.778,0.66786,-0.01881,0.99462,0.4312,0.64766,-0.08869,0.97346,0.77972,0.75723,-0.20011,0.98648,0.5002,0.71995,-0.33502,0.93576,0.78457,0.78596,-0.26893,0.97439,0.51747,0.74122,-0.40256,0.89768,0.76531,0.78477,-0.33065,0.9762,0.53318,0.73171,-0.45804,0.90091,0.75758,0.77805,-0.22645,0.97298,0.53028,0.72493,-0.36041,0.89407,0.68036,0.76936,-0.0186,0.99878,0.55284,0.76718,0.01892,0.99839,0.68511,0.9072,-0.05088,0.9498,0.52945,0.9036,-0.00838,0.93483,0.7024,1.03267,0.18789,0.82636,0.50381,1.01279,0.18906,0.79388,0.69926,1.04758,0.19396,0.35546,0.51546,1.04515,0.19717,0.50768,0.69614,1.08437,-0.04901,0.59392,0.46115,1.07281,-0.04075,0.62125,idle
40,0.60475,0.50909,-0.46922,0.99998,0.62041,0.49703,-0.44207,0.99995,0.6284,0.49714,-0.44213,0.99995,0.63529,0.49765,-0.44225,0.99996,0.59301,0.49776,-0.44194,0.99995,0.58435,0.49843,-0.44188,0.99995,0.57701,0.49916,-0.44196,0.99995,0.65101,0.5032,-0.24344,0.99995,0.56866,0.50468,-0.24499,0.99995,0.62339,0.52274,-0.38996,0.99999,0.59106,0.5243,-0.39063,0.99999,0.72181,0.57765,-0.11188,0.99997,0.50342,0.57329,-0.09954,0.9999,0.77753,0.66694,6e-05,0.99453,0.43128,0.64806,-0.1073,0.97393,0.77972,0.75682,-0.17015,0.98689,0.49984,0.72303,-0.36308,0.93723,0.78458,0.78585,-0.23726,0.9751,0.51591,0.74813,-0.43322,0.89964,0.76554,0.78469,-0.30511,0.97684,0.53254,0.73879,-0.49033,0.90274,0.75777,0.77797,-0.19864,0.97357,0.53024,0.73146,-0.38902,0.89582,0.68139,0.76932,-0.01858,0.99876,0.55454,0.76719,0.01891,0.99838,0.68574,0.90546,-0.05042,0.95184,0.52948,0.90374,0.0058,0.93526,0.69975,1.0331,0.18675,0.83042,0.50389,1.01199,0.21982,0.79512,0.69671,1.04807,0.1922,0.36063,0.5147,1.01745,0.22859,0.50655,0.6873,1.08469,-0.05964,0.60231,0.46245,1.07316,-0.01846,0.62409,idle
80,0.60489,0.50917,-0.48279,0.99998,0.62043,0.49718,-0.4559,0.99995,0.62852,0.49731,-0.45594,0.99995,0.63529,0.49783,-0.45603,0.99995,0.59313,0.49778,-0.45611,0.99995,0.58452,0.49843,-0.45603,0.99995,0.57715,0.49915,-0.45611,0.99995,0.65099,0.50349,-0.25532,0.99995,0.56877,0.50466,-0.25917,0.99995,0.6234,0.52279,-0.40302,0.99999,0.59106,0.52424,-0.40408,0.99999,0.72158,0.57743,-0.1153,0.99997,0.50393,0.57305,-0.11265,0.99991,0.77683,0.66676,-0.00227,0.99445,0.43427,0.64892,-0.12352,0.97458,0.77983,0.75642,-0.17439,0.98729,0.49935,0.7275,-0.3853,0.93919,0.78465,0.78577,-0.24153,0.97578,0.51136,0.75599,-0.45732,0.90238,0.7658,0.78461,-0.31085,0.97746,0.53052,0.74773,-0.51508,0.90533,0.75799,0.77788,-0.19947,0.97417,0.53009,0.73931,-0.4118,0.8984,0.68225,0.76932,-0.01774,0.99875,0.55522,0.76714,0.01811,0.99839,0.68621,0.90458,-0.05091,0.95398,0.52971,0.90359,0.01331,0.93625,0.69668,1.0332,0.17941,0.83473,0.50429,1.01119,0.23688,0.79662,0.69311,1.04813,0.18368,0.36644,0.51454,1.01243,0.24604,0.50466,0.6815,1.08493,-0.07636,0.61136,0.46569,1.07326,-0.00438,0.62743,idle
120,0.60521,0.50918,-0.47254,0.99998,0.62056,0.49725,-0.44345,0.99995,0.62872,0.49741,-0.44349,0.99995,0.63532,0.49797,-0.44357,0.99995,0.59344,0.49777,-0.44822,0.99995,0.58477,0.49838,-0.44813,0.99994,0.57737,0.499,-0.4482,0.99995,0.65098,0.5038,-0.2369,0.99994,0.5688,0.50452,-0.25766,0.99995,0.62343,0.52279,-0.38947,0.99999,0.59103,0.52405,-0.39561,0.99998,0.71994,0.57644,-0.09301,0.99997,0.50384,0.57283,-0.11205,0.99991,0.77522,0.66556,0.01755,0.99415,0.45093,0.65583,-0.07473,0.97538,0.7795,0.75581,-0.17351,0.98747,0.49845,0.74079,-0.27198,0.94149,0.7846,0.78574,-0.24269,0.97611,0.50401,0.77115,-0.33954,0.90542,0.76577,0.78461,-0.31331,0.97774,0.5246,0.76629,-0.40544,0.90828,0.75793,0.77787,-0.20268,0.97436,0.52825,0.7564,-0.30043,0.90147,0.68276,0.76793,-0.0172,0.99873,0.55524,0.76636,0.0176,0.99838,0.68623,0.90417,-0.06259,0.95621,0.52969,0.90347,0.00491,0.9379,0.6965,1.03354,0.16688,0.8382,0.50436,1.01117,0.2292,0.79908,0.69273,1.0485,0.17102,0.36631,0.51418,1.03426,0.23861,0.50218,0.68217,1.08537,-0.09541,0.61742,0.46642,1.07392,-0.02197,0.63171,idle
160,0.60524,0.50918,-0.46088,0.99998,0.62056,0.49726,-0.43214,0.99994,0.62873,0.49744,-0.43219,0.99994,0.63527,0.498,-0.43228,0.99995,0.59353,0.49772,-0.43838,0.99994,0.58483,0.49826,-0.43829,0.99994,0.5774,0.49876,-0.43835,0.99994,0.65075,0.50393,-0.22733,0.99993,0.56877,0.50427,-0.25508,0.99994,0.62335,0.52278,-0.37817,0.99998,0.59084,0.52378,-0.38579,0.99998,0.71841,0.5756,-0.07918,0.99997,0.50357,0.57213,-0.11083,0.99991,0.77324,0.6649,0.03596,0.99374,0.4599,0.66014,-0.06966,0.97623,0.77846,0.75522,-0.1524,0.98755,0.49737,0.74825,-0.25511,0.94387,0.78396,0.78542,-0.22032,0.97623,0.49733,0.77827,-0.32256,0.90867,0.76543,0.78433,-0.29592,0.97783,0.51951,0.77401,-0.38851,0.91141,0.75753,0.7776,-0.18541,0.97435,0.52579,0.76431,-0.28341,0.90469,0.68206,0.76725,-0.01311,0.99871,0.55393,0.76585,0.0136,0.99839,0.68606,0.90348,-0.06052,0.95808,0.52965,0.90341,-0.00796,0.93989,0.69549,1.01915,0.16908,0.84036,0.50463,1.01111,0.20814,0.80197,0.69203,1.04856,0.17349,0.36674,0.51374,1.04155,0.21528,0.4994,0.68259,1.08541,-0.08829,0.62138,0.46717,1.07428,-0.05017,0.63545,idle
200,0.60525,0.50909,-0.40808,0.99998,0.62047,0.49723,-0.37767,0.99994,0.62869,0.49742,-0.37776,0.99994,0.63506,0.49799,-0.3779,0.99994,0.59353,0.49753,-0.38222,0.99994,0.58483,0.49798,-0.38212,0.99993,0.57738,0.49836,-0.38219,0.99993,0.65006,0.50394,-0.17362,0.99992,0.56859,0.50391,-0.19382,0.99993,0.62304,0.52268,-0.32723,0.99998,0.59055,0.52341,-0.33302,0.99998,0.71702,0.5751,-0.03379,0.99997,0.50328,0.57193,-0.0766,0.99991,0.77176,0.66457,0.07216,0.99302,0.46432,0.66235,-0.04643,0.97658,0.77691,0.75466,-0.11334,0.98724,0.49373,0.75123,-0.2493,0.9456,0.78286,0.78518,-0.17974,0.97573,0.48788,0.78145,-0.32084,0.9112,0.76506,0.78417,-0.25636,0.97733,0.51064,0.77746,-0.38599,0.91386,0.75711,0.77743,-0.14747,0.97369,0.51922,0.76796,-0.27849,0.90718,0.6811,0.76725,-0.01134,0.9987,0.55288,0.7659,0.01188,0.9984,0.68606,0.90351,-0.063,0.95976,0.5295,0.90349,-0.02153,0.94163,0.69659,1.02554,0.16998,0.84131,0.50485,1.01106,0.19705,0.80467,0.69217,1.04894,0.17479,0.36583,0.51373,1.01942,0.20401,0.49624,0.68768,1.08553,-0.08624,0.62359,0.46849,1.07526,-0.06251,0.63874,idle
240,0.60524,0.50908,-0.39151,0.99997,0.62039,0.49723,-0.36029,0.99993,0.62864,0.49743,-0.36039,0.99993,0.63487,0.498,-0.36054,0.99993,0.59353,0.49746,-0.36425,0.99993,0.58483,0.49785,-0.36416,0.99992,0.57737,0.49815,-0.36424,0.99993,0.64949,0.50399,-0.15387,0.99991,0.56842,0.5037,-0.1715,0.99992,0.62272,0.52265,-0.30994,0.99998,0.59033,0.52324,-0.31513,0.99998,0.71618,0.57495,-0.01758,0.99997,0.50269,0.57191,-0.05249,0.99991,0.77082,0.66449,0.08585,0.99223,0.46471,0.66325,-0.02367,0.97672,0.77573,0.75463,-0.10192,0.98666,0.48887,0.75226,-0.23669,0.94714,0.78151,0.78519,-0.16857,0.97483,0.48097,0.78269,-0.30961,0.91356,0.76465,0.78422,-0.24442,0.97646,0.50166,0.7792,-0.37635,0.91619,0.75681,0.77745,-0.13585,0.97262,0.51103,0.76976,-0.26701,0.90958,0.68081,0.76736,-0.0115,0.99869,0.55254,0.76642,0.01203,0.99841,0.6861,0.90373,-0.0751,0.96121,0.5288,0.90386,-0.02237,0.94268,0.69772,1.03082,0.16962,0.84128,0.50505,1.011,0.2012,0.80615,0.69288,1.05014,0.17524,0.36452,0.51377,1.01386,0.20923,0.49411,0.69,1.0862,-0.08592,0.62464,0.46862,1.07578,-0.06199,0.64096,idle
280,0.60507,0.50907,-0.39508,0.99997,0.61999,0.49723,-0.36465,0.99992,0.62833,0.49743,-0.36476,0.99992,0.63444,0.498,-0.36491,0.99992,0.59336,0.4974,-0.36755,0.99992,0.5847,0.49775,-0.36747,0.99991,0.57716,0.49803,-0.36756,0.99992,0.64844,0.50399,-0.16136,0.9999,0.56804,0.50352,-0.17407,0.99991,0.62223,0.52261,-0.31442,0.99997,0.58994,0.52313,-0.31826,0.99997,0.71539,0.57458,-0.03198,0.99997,0.50192,0.57185,-0.0477,0.99991,0.77056,0.66409,0.06698,0.99174,0.46272,0.66282,-0.00303,0.97639,0.77439,0.75449,-0.12182,0.98613,0.48354,0.75265,-0.19734,0.94769,0.77999,0.78516,-0.18956,0.97404,0.47622,0.78319,-0.26638,0.91441,0.7638,0.78422,-0.26273,0.97569,0.49506,0.77973,-0.3378,0.9171,0.75616,0.7774,-0.15438,0.97171,0.50358,0.77001,-0.22937,0.91066,0.68069,0.76737,-0.01447,0.99868,0.55234,0.76665,0.01507,0.99841,0.68625,0.90372,-0.08015,0.96206,0.52759,0.90376,-0.01432,0.9427,0.69903,1.03377,0.15912,0.83943,0.50517,1.01094,0.21738,0.80585,0.69459,1.05128,0.16462,0.36189,0.51395,1.03915,0.22616,0.49422,0.69122,1.08668,-0.09591,0.62291,0.46663,1.07574,-0.03013,0.64105,idle
320,0.60407,0.50897,-0.39969,0.99997,0.61872,0.49718,-0.37039,0.99991,0.62743,0.49739,-0.37048,0.99992,0.63361,0.49794,-0.37063,0.99992,0.59225,0.49727,-0.37229,0.99991,0.58389,0.49761,-0.3722,0.99991,0.57601,0.49789,-0.3723,0.99991,0.64695,0.50391,-0.17152,0.9999,0.56702,0.50334,-0.18018,0.99991,0.62132,0.52245,-0.32082,0.99997,0.58881,0.52289,-0.32342,0.99997,0.71434,0.57448,-0.04375,0.99997,0.50089,0.5718,-0.05167,0.99991,0.77049,0.66395,0.05703,0.99139,0.45872,0.66206,-0.01283,0.9764,0.77407,0.75383,-0.12675,0.98576,0.47309,0.7508,-0.21429,0.94809,0.77935,0.7846,-0.1951,0.97355,0.46602,0.78077,-0.28089,0.91503,0.76335,0.78353,-0.26556,0.97522,0.48514,0.77698,-0.35139,0.9178,0.75588,0.77642,-0.15734,0.97114,0.49239,0.76722,-0.24616,0.91173,0.68054,0.76739,-0.01503,0.99868,0.5511,0.76688,0.01562,0.99843,0.68671,0.90371,-0.07977,0.96323,0.52687,0.90371,-0.00641,0.94307,0.69904,1.03425,0.15681,0.84013,0.50561,1.0106,0.22717,0.80502,0.69466,1.05125,0.16229,0.361,0.51479,1.01833,0.2366,0.49231,0.69044,1.08701,-0.09706,0.62516,0.46695,1.07557,-0.01092,0.641,idle
360,0.60298,0.50882,-0.36868,0.99997,0.6175,0.49706,-0.33982,0.99991,0.62653,0.49727,-0.33991,0.99992,0.63274,0.49781,-0.34005,0.99992,0.59107,0.49709,-0.34086,0.99991,0.58293,0.49742,-0.34077,0.99991,0.57475,0.49768,-0.34087,0.99991,0.64585,0.5038,-0.14865,0.99989,0.56604,0.50312,-0.15389,0.99991,0.62041,0.52224,-0.29337,0.99997,0.58764,0.52262,-0.29489,0.99997,0.71364,0.57443,-0.03729,0.99997,0.50027,0.5717,-0.03365,0.99991,0.77018,0.66388,0.05414,0.99104,0.45422,0.6608,-0.00451,0.97641,0.77381,0.75308,-0.13236,0.98556,0.46598,0.74916,-0.20572,0.9481,0.779,0.78391,-0.20015,0.97339,0.4587,0.77872,-0.27044,0.91507,0.76305,0.78287,-0.27085,0.97505,0.47716,0.77478,-0.34037,0.91796,0.75567,0.77554,-0.16339,0.97089,0.48423,0.76501,-0.23786,0.9124,0.68052,0.76734,-0.01504,0.99871,0.54996,0.76688,0.01563,0.99846,0.68695,0.90341,-0.07764,0.96401,0.52653,0.90353,-0.00281,0.94272,0.69903,1.0346,0.14413,0.83957,0.50599,1.01035,0.22428,0.8011,0.69466,1.05123,0.148,0.35732,0.51525,1.03641,0.23336,0.48574,0.68964,1.08766,-0.10964,0.62587,0.46823,1.07544,-0.01101,0.63747,idle
