timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
0,0.44553,0.32369,-0.59976,0.99977,0.45306,0.29124,-0.58041,0.99964,0.45946,0.29139,-0.58049,0.99961,0.4654,0.29183,-0.5807,0.99962,0.43146,0.28692,-0.57456,0.99956,0.42268,0.28489,-0.57445,0.99953,0.41524,0.28371,-0.57466,0.99958,0.47378,0.30237,-0.40135,0.99966,0.40103,0.29893,-0.36695,0.99944,0.45491,0.35998,-0.52897,0.99995,0.42887,0.35735,-0.51922,0.99993,0.52378,0.51047,-0.31524,0.9997,0.36588,0.49837,-0.1956,0.99973,0.55181,0.81496,-0.2622,0.98213,0.35166,0.75371,-0.13025,0.95317,0.55247,1.05898,-0.401,0.59304,0.32989,0.95596,-0.35193,0.63195,0.56134,1.15651,-0.46661,0.32944,0.31964,1.02009,-0.40189,0.44843,0.54051,1.16087,-0.50173,0.38145,0.32851,1.02479,-0.47745,0.5213,0.53009,1.12502,-0.41938,0.4364,0.33692,0.9971,-0.38711,0.55498,0.49293,0.97062,-0.07027,0.94023,0.39265,0.95258,0.07112,0.9088,0.47744,1.31962,0.07615,0.2411,0.37406,1.30398,0.26557,0.11626,0.47246,1.60491,0.48974,0.02874,0.36903,1.59141,0.64037,0.0115,0.47897,1.65512,0.51595,0.01734,0.37036,1.64177,0.67026,0.03469,0.44511,1.70755,0.26958,0.00855,0.36518,1.69852,0.41212,0.01096,idle
40,0.4436,0.3248,-0.50128,0.99977,0.45266,0.29195,-0.48313,0.99962,0.45934,0.29216,-0.48328,0.9996,0.46511,0.29249,-0.48352,0.9996,0.42988,0.28784,-0.4755,0.99955,0.4212,0.28613,-0.47547,0.99952,0.41423,0.28534,-0.47571,0.99956,0.47275,0.30348,-0.32116,0.99964,0.4014,0.30008,-0.27716,0.99943,0.45409,0.36182,-0.43744,0.99994,0.42639,0.36074,-0.42505,0.99993,0.52262,0.50828,-0.25826,0.99971,0.365,0.49843,-0.13117,0.99974,0.54808,0.80041,-0.20854,0.98125,0.34958,0.75414,-0.07065,0.95097,0.55576,1.04765,-0.31053,0.59084,0.32922,0.96688,-0.2656,0.62213,0.57043,1.15604,-0.36346,0.33348,0.31923,1.03443,-0.30679,0.4409,0.54958,1.16103,-0.39635,0.38692,0.32897,1.03696,-0.37186,0.51391,0.53825,1.12528,-0.32662,0.43921,0.33671,1.00748,-0.29582,0.54666,0.49231,0.97573,-0.07716,0.92865,0.39191,0.96979,0.07795,0.89669,0.47768,1.33351,0.0617,0.22362,0.37452,1.32594,0.26819,0.10754,0.47329,1.64026,0.43838,0.02696,0.36986,1.62804,0.61167,0.011,0.48029,1.69408,0.46272,0.01624,0.37133,1.68013,0.63876,0.03319,0.445,1.73802,0.23727,0.00806,0.36425,1.7293,0.40306,0.01043,idle
80,0.44251,0.32551,-0.47801,0.99977,0.45247,0.29245,-0.45874,0.99961,0.45929,0.2927,-0.45892,0.99959,0.46495,0.29293,-0.45915,0.99958,0.42901,0.28847,-0.45138,0.99955,0.42035,0.287,-0.45138,0.99953,0.41357,0.28646,-0.45163,0.99955,0.47227,0.30416,-0.29652,0.99962,0.4016,0.3011,-0.25402,0.99943,0.45347,0.36305,-0.41428,0.99994,0.42483,0.36295,-0.4024,0.99992,0.52195,0.50644,-0.23472,0.99972,0.36397,0.49866,-0.10818,0.99975,0.54542,0.79205,-0.18448,0.98102,0.34848,0.75526,-0.04506,0.94927,0.55615,1.03509,-0.28346,0.59961,0.3287,0.97215,-0.2367,0.62183,0.57383,1.15184,-0.33419,0.3484,0.31911,1.04103,-0.276,0.44229,0.55366,1.15846,-0.36706,0.40308,0.32951,1.04255,-0.34155,0.51535,0.54214,1.12315,-0.29895,0.45196,0.33661,1.01281,-0.26666,0.54638,0.49191,0.97808,-0.08055,0.92617,0.39163,0.97613,0.08125,0.89466,0.47806,1.33651,0.03369,0.21597,0.37588,1.33179,0.26515,0.1035,0.47443,1.64485,0.39331,0.02706,0.37166,1.6346,0.58606,0.01182,0.48189,1.69782,0.41663,0.01614,0.37353,1.68636,0.61206,0.03485,0.44521,1.742,0.20082,0.00817,0.36417,1.73322,0.38925,0.01085,idle
120,0.44051,0.3294,-0.50873,0.99976,0.4515,0.29623,-0.48799,0.99959,0.45856,0.29647,-0.48819,0.99956,0.46415,0.29678,-0.48836,0.99955,0.42759,0.2934,-0.48185,0.99953,0.41889,0.29264,-0.48187,0.99951,0.41259,0.2925,-0.48214,0.99953,0.47046,0.30894,-0.31519,0.99958,0.40159,0.30682,-0.27905,0.99939,0.45173,0.36575,-0.44102,0.99993,0.42226,0.36611,-0.43102,0.99991,0.51919,0.50467,-0.23201,0.99973,0.36282,0.49877,-0.12078,0.99974,0.54272,0.77906,-0.16609,0.98077,0.34445,0.75468,-0.0556,0.94811,0.56093,1.01282,-0.28466,0.61608,0.32694,0.96781,-0.26049,0.62675,0.58761,1.12273,-0.33454,0.37278,0.31726,1.03932,-0.30223,0.44849,0.57246,1.13094,-0.37309,0.42794,0.32899,1.03735,-0.37225,0.52079,0.55923,1.09959,-0.30282,0.47209,0.33502,1.01085,-0.2922,0.54932,0.49013,0.97692,-0.0826,0.92026,0.38946,0.9758,0.08323,0.88828,0.48004,1.33613,-0.0033,0.20942,0.37908,1.33046,0.24635,0.10034,0.47871,1.64072,0.3577,0.02798,0.37829,1.63511,0.57465,0.0138,0.48594,1.69221,0.37957,0.01617,0.38119,1.68598,0.60094,0.03875,0.45139,1.73929,0.15137,0.00858,0.36886,1.73159,0.36615,0.01247,idle
160,0.43933,0.33199,-0.51202,0.99975,0.45045,0.29954,-0.4976,0.99956,0.45757,0.29992,-0.49747,0.99953,0.46319,0.30039,-0.49774,0.99953,0.42691,0.29729,-0.48384,0.9995,0.41836,0.29661,-0.48324,0.99948,0.41215,0.29642,-0.48326,0.99949,0.46831,0.31233,-0.33203,0.99955,0.40161,0.30988,-0.29113,0.99933,0.45032,0.36743,-0.4537,0.99993,0.42116,0.36753,-0.43483,0.9999,0.51595,0.50135,-0.23208,0.99974,0.36052,0.49882,-0.13381,0.99973,0.54069,0.76929,-0.15079,0.98141,0.34041,0.74889,-0.05856,0.94766,0.56256,0.99555,-0.28922,0.64392,0.32364,0.95932,-0.274,0.64074,0.58827,1.08113,-0.34322,0.41351,0.31135,1.0227,-0.31845,0.46571,0.57621,1.08442,-0.38696,0.46664,0.3224,1.02306,-0.39333,0.53589,0.55669,1.04658,-0.30965,0.50489,0.32981,1.00034,-0.30792,0.56129,0.48714,0.97426,-0.08208,0.9208,0.3876,0.97468,0.08268,0.88805,0.48019,1.32339,-0.04703,0.22477,0.38118,1.31659,0.23278,0.10646,0.48054,1.62179,0.33155,0.03728,0.38363,1.6181,0.5895,0.02485,0.48662,1.66494,0.35518,0.0209,0.38715,1.66447,0.61704,0.05983,0.45978,1.71895,0.12935,0.01185,0.37507,1.70233,0.3696,0.02177,idle
200,0.43899,0.33386,-0.57369,0.99973,0.44999,0.30196,-0.55159,0.99952,0.4571,0.30243,-0.55179,0.99948,0.46252,0.30297,-0.552,0.99947,0.42678,0.30016,-0.5487,0.99945,0.41827,0.29962,-0.54871,0.99944,0.4119,0.29941,-0.54901,0.99944,0.46697,0.31503,-0.35351,0.99945,0.40163,0.31296,-0.34044,0.99924,0.44995,0.36845,-0.4968,0.99991,0.42105,0.36841,-0.49172,0.99989,0.5136,0.4984,-0.24248,0.99974,0.35723,0.5001,-0.15617,0.99971,0.53931,0.76312,-0.15727,0.98101,0.33558,0.74891,-0.07682,0.94835,0.56325,0.9804,-0.30708,0.66314,0.31615,0.96091,-0.30322,0.64933,0.58608,1.05208,-0.36161,0.43937,0.30075,1.0258,-0.35012,0.47279,0.57736,1.05681,-0.40509,0.49151,0.3141,1.02728,-0.42582,0.5413,0.55593,1.02539,-0.32766,0.52465,0.32175,1.00386,-0.33672,0.56499,0.48721,0.96573,-0.07958,0.92035,0.38671,0.97379,0.08001,0.88783,0.48313,1.31383,-0.01491,0.22582,0.38177,1.31231,0.23892,0.1067,0.48523,1.61169,0.37814,0.04107,0.38511,1.61277,0.63581,0.03098,0.48968,1.65424,0.40124,0.02239,0.38796,1.65774,0.66941,0.07048,0.46695,1.7106,0.16931,0.01323,0.38187,1.69798,0.42644,0.027,idle
240,0.43779,0.33428,-0.59582,0.99973,0.44911,0.30269,-0.57303,0.99952,0.45637,0.30314,-0.57325,0.99947,0.46164,0.30371,-0.57339,0.99947,0.42622,0.30109,-0.57017,0.99945,0.41799,0.30061,-0.57028,0.99943,0.41146,0.30033,-0.57059,0.99944,0.46626,0.31584,-0.37255,0.99942,0.40176,0.31339,-0.35773,0.99922,0.44902,0.36858,-0.51698,0.99991,0.42031,0.36837,-0.51252,0.99989,0.51281,0.49536,-0.2477,0.99975,0.35545,0.50021,-0.16502,0.9997,0.53797,0.75501,-0.16327,0.98171,0.33244,0.74898,-0.07865,0.95052,0.5635,0.96867,-0.31111,0.69041,0.3124,0.9616,-0.30846,0.67123,0.58403,1.03692,-0.36811,0.48131,0.29626,1.02702,-0.3567,0.50039,0.57325,1.04309,-0.41908,0.53043,0.31029,1.02938,-0.43184,0.56561,0.55663,1.01552,-0.33266,0.55861,0.31808,1.00541,-0.3414,0.58618,0.48729,0.95926,-0.07608,0.92205,0.38569,0.9674,0.07637,0.89028,0.48323,1.3065,-0.06147,0.24354,0.38159,1.30372,0.18063,0.11886,0.48546,1.59903,0.35334,0.05073,0.38533,1.60188,0.5603,0.04485,0.48962,1.63717,0.38046,0.02703,0.38831,1.6439,0.59162,0.09076,0.46806,1.70132,0.15309,0.01697,0.38347,1.68932,0.35027,0.03805,idle
280,0.43662,0.33437,-0.58863,0.99973,0.44818,0.30292,-0.56805,0.99952,0.45551,0.30341,-0.56823,0.99947,0.46069,0.30403,-0.56844,0.99946,0.42572,0.30133,-0.56302,0.99945,0.41775,0.30087,-0.56303,0.99943,0.41108,0.30049,-0.5633,0.99943,0.46563,0.3164,-0.36564,0.9994,0.40183,0.31337,-0.35308,0.9992,0.44812,0.36856,-0.51614,0.99991,0.41965,0.36827,-0.50711,0.99988,0.51253,0.4949,-0.23504,0.99976,0.35427,0.50033,-0.1607,0.9997,0.53717,0.75311,-0.15108,0.9823,0.33147,0.74906,-0.0783,0.95231,0.56345,0.96487,-0.3151,0.71482,0.31134,0.96184,-0.30352,0.69148,0.58276,1.03451,-0.3713,0.51926,0.29527,1.02764,-0.35213,0.52657,0.57096,1.04023,-0.42032,0.56566,0.30906,1.03045,-0.42622,0.58865,0.55648,1.0133,-0.33698,0.58951,0.31688,1.00618,-0.33593,0.60644,0.48735,0.95734,-0.07332,0.92438,0.38495,0.96523,0.07359,0.8938,0.48314,1.30423,-0.0593,0.26064,0.38151,1.30172,0.17046,0.13067,0.48505,1.59627,0.34618,0.05929,0.3849,1.60012,0.53351,0.05671,0.48934,1.63436,0.37298,0.03143,0.38797,1.64218,0.56293,0.1073,0.46687,1.69946,0.15028,0.02012,0.38279,1.68914,0.32545,0.0462,idle
320,0.43659,0.33446,-0.60342,0.99973,0.44804,0.30322,-0.58102,0.99952,0.45525,0.30368,-0.58119,0.99947,0.46008,0.30427,-0.58131,0.99947,0.42575,0.30183,-0.57944,0.99946,0.4179,0.30158,-0.57958,0.99945,0.41114,0.30128,-0.57988,0.99945,0.46519,0.31669,-0.38471,0.99939,0.40209,0.31441,-0.37882,0.99921,0.44808,0.36853,-0.52757,0.9999,0.41974,0.36819,-0.52472,0.99988,0.51227,0.49479,-0.23644,0.99976,0.35351,0.50168,-0.19044,0.9997,0.53632,0.74885,-0.16097,0.98261,0.33003,0.7517,-0.11238,0.95452,0.56328,0.9659,-0.31942,0.73542,0.30886,0.96366,-0.32246,0.71132,0.58197,1.0353,-0.3734,0.55093,0.29302,1.03052,-0.36881,0.55207,0.57056,1.04156,-0.42633,0.59528,0.30744,1.03377,-0.43907,0.61108,0.55546,1.01489,-0.34426,0.61506,0.31488,1.0098,-0.35275,0.62607,0.48742,0.94781,-0.06561,0.9255,0.38519,0.95844,0.0658,0.89703,0.48436,1.29295,-0.06519,0.27737,0.38281,1.29119,0.14339,0.14213,0.48795,1.58542,0.31554,0.06863,0.38826,1.5924,0.47489,0.0693,0.49166,1.62297,0.34022,0.03662,0.39112,1.63466,0.50032,0.12198,0.47236,1.68829,0.12106,0.02446,0.38786,1.6806,0.26503,0.05533,idle
360,0.43666,0.33461,-0.60418,0.99973,0.44829,0.3036,-0.58135,0.99951,0.45526,0.30401,-0.5815,0.99946,0.45998,0.30459,-0.58163,0.99944,0.42654,0.30231,-0.58293,0.99946,0.41873,0.30213,-0.58306,0.99945,0.4122,0.30197,-0.58337,0.99946,0.46527,0.31697,-0.38522,0.99934,0.40269,0.31515,-0.3914,0.99922,0.44812,0.36849,-0.52697,0.9999,0.42039,0.36815,-0.52832,0.99988,0.51235,0.49493,-0.23862,0.99976,0.35337,0.50217,-0.21903,0.99971,0.53629,0.7517,-0.13043,0.9821,0.32972,0.7517,-0.14483,0.95697,0.56304,0.96439,-0.28612,0.74889,0.30938,0.96347,-0.34133,0.72913,0.58183,1.03256,-0.33457,0.57022,0.29451,1.03089,-0.38908,0.57351,0.56925,1.0379,-0.38602,0.61355,0.30882,1.03374,-0.45492,0.62976,0.55484,1.01084,-0.30991,0.63086,0.31612,1.00967,-0.36974,0.6427,0.4882,0.94473,-0.0469,0.92815,0.38548,0.9542,0.04713,0.90197,0.48769,1.28999,-0.02026,0.27133,0.38409,1.28773,0.14776,0.13884,0.49047,1.57941,0.38799,0.06642,0.38855,1.58681,0.50218,0.06889,0.49344,1.61672,0.41757,0.03592,0.39081,1.6295,0.5307,0.11886,0.47355,1.685,0.20831,0.02399,0.39075,1.67714,0.29391,0.05452,idle
