timestamp,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth
0,0.53121,0.22877,-0.30482,0.99999,0.53608,0.21399,-0.29011,0.99995,0.53897,0.21411,-0.29011,0.99994,0.54217,0.21437,-0.2901,0.99993,0.52636,0.21391,-0.29286,0.99996,0.52244,0.21413,-0.29288,0.99996,0.51894,0.21469,-0.29292,0.99995,0.54567,0.22001,-0.18859,0.99986,0.51286,0.22106,-0.20362,0.99993,0.53644,0.24568,-0.26542,0.99998,0.52408,0.24629,-0.26972,0.99999,0.56893,0.32387,-0.11405,0.99996,0.48517,0.3174,-0.1288,0.99997,0.58161,0.44539,-0.06103,0.9818,0.47213,0.44514,-0.09652,0.98097,0.58823,0.5476,-0.14779,0.97939,0.47086,0.55185,-0.17642,0.97362,0.59053,0.58532,-0.17432,0.96063,0.47014,0.58557,-0.20251,0.95051,0.58548,0.58246,-0.20456,0.96291,0.47793,0.58121,-0.23198,0.95277,0.5829,0.57273,-0.16146,0.95648,0.47969,0.57016,-0.18927,0.94564,0.55447,0.54808,0.00165,0.99986,0.5049,0.55084,-0.00173,0.99987,0.55296,0.71244,0.02345,0.99574,0.50659,0.71067,0.0456,0.9944,0.54653,0.84131,0.21541,0.99332,0.51075,0.83319,0.24323,0.99444,0.54234,0.85798,0.22792,0.94192,0.51612,0.84952,0.25645,0.93595,0.5574,0.89987,0.12895,0.99079,0.49888,0.89529,0.15369,0.99189,idle
33,0.53131,0.22847,-0.28977,0.99999,0.53608,0.21353,-0.27536,0.99995,0.53901,0.21364,-0.27535,0.99994,0.54218,0.21396,-0.27532,0.99993,0.52642,0.21317,-0.27744,0.99996,0.52255,0.21327,-0.27747,0.99996,0.51895,0.21374,-0.2775,0.99995,0.54564,0.22001,-0.17964,0.99985,0.51286,0.22086,-0.19262,0.99993,0.53644,0.24554,-0.25321,0.99998,0.52414,0.24606,-0.25687,0.99999,0.56894,0.32384,-0.11012,0.99995,0.48519,0.31731,-0.12549,0.99997,0.58164,0.44538,-0.05426,0.98229,0.47217,0.445,-0.09512,0.98161,0.58816,0.54773,-0.12591,0.98003,0.47194,0.55196,-0.16758,0.97446,0.59046,0.5854,-0.14878,0.96149,0.47062,0.58558,-0.19118,0.95183,0.58523,0.5828,-0.17695,0.96372,0.47799,0.58123,-0.21771,0.95397,0.58261,0.573,-0.13815,0.95743,0.47994,0.57045,-0.17893,0.94697,0.5545,0.54828,0.00207,0.99985,0.50499,0.55108,-0.00216,0.99987,0.55303,0.71074,0.02828,0.99524,0.50702,0.70884,0.03256,0.99417,0.54653,0.84111,0.19527,0.99277,0.5121,0.83345,0.19519,0.9941,0.54232,0.85792,0.20493,0.94196,0.51682,0.85024,0.20502,0.93359,0.55825,0.89973,0.1145,0.99011,0.49973,0.89442,0.10695,0.99127,idle
66,0.53136,0.22839,-0.29053,0.99999,0.53608,0.2133,-0.27619,0.99995,0.53903,0.2134,-0.27618,0.99994,0.54218,0.21374,-0.27615,0.99993,0.52646,0.21278,-0.27837,0.99996,0.52263,0.2128,-0.2784,0.99995,0.51896,0.2132,-0.27843,0.99995,0.54557,0.22001,-0.18037,0.99984,0.51285,0.22072,-0.19376,0.99993,0.53643,0.24552,-0.25394,0.99998,0.52416,0.24603,-0.25772,0.99999,0.56894,0.32384,-0.11029,0.99995,0.48519,0.31731,-0.12597,0.99997,0.58169,0.44538,-0.05386,0.98265,0.4722,0.445,-0.09624,0.98228,0.58815,0.54776,-0.12525,0.98055,0.4728,0.55215,-0.1677,0.9753,0.59046,0.58541,-0.14797,0.96215,0.47104,0.58561,-0.19103,0.95316,0.58522,0.58294,-0.17622,0.96435,0.47811,0.58129,-0.21731,0.95518,0.5826,0.57313,-0.13753,0.9582,0.48027,0.57077,-0.1789,0.94833,0.55453,0.54855,0.00282,0.99984,0.50507,0.55135,-0.00292,0.99987,0.55306,0.70988,0.03097,0.9948,0.50733,0.70752,0.02927,0.99398,0.54636,0.84099,0.19459,0.9923,0.51268,0.83362,0.19196,0.99382,0.5421,0.85785,0.20438,0.94223,0.51708,0.85066,0.20194,0.93156,0.55881,0.89975,0.11459,0.98952,0.50022,0.89385,0.10391,0.99075,idle
100,0.53137,0.22817,-0.29231,0.99999,0.53606,0.21292,-0.27836,0.99995,0.53903,0.213,-0.27833,0.99994,0.54218,0.21334,-0.27827,0.99993,0.52646,0.21235,-0.28016,0.99996,0.52263,0.21236,-0.2802,0.99996,0.51893,0.21276,-0.28023,0.99995,0.54554,0.21998,-0.18503,0.99984,0.5128,0.2206,-0.19847,0.99993,0.53642,0.24544,-0.25752,0.99998,0.52416,0.24598,-0.26118,0.99999,0.56895,0.32387,-0.11366,0.99995,0.48519,0.31735,-0.13337,0.99997,0.58199,0.44567,-0.05419,0.98295,0.47221,0.44505,-0.1031,0.9829,0.58817,0.5483,-0.12726,0.98091,0.47339,0.55244,-0.17018,0.97599,0.59045,0.58582,-0.14987,0.96249,0.47141,0.58568,-0.19137,0.95419,0.58522,0.58353,-0.17824,0.96467,0.4783,0.58141,-0.21951,0.95612,0.5826,0.57363,-0.13957,0.95865,0.48064,0.57112,-0.18018,0.94938,0.55453,0.54913,0.00397,0.99984,0.50509,0.55165,-0.00407,0.99987,0.55309,0.70972,0.03474,0.99441,0.50745,0.70714,0.02822,0.99385,0.54605,0.84099,0.19695,0.99192,0.51304,0.83451,0.19145,0.99356,0.54175,0.85785,0.20687,0.94262,0.51713,0.8515,0.20147,0.92922,0.55907,0.89994,0.11631,0.98901,0.50056,0.89382,0.10225,0.99023,idle
133,0.53136,0.22813,-0.29243,0.99999,0.53601,0.2128,-0.27866,0.99995,0.53901,0.21286,-0.27861,0.99994,0.54217,0.2132,-0.27853,0.99993,0.52641,0.21222,-0.28034,0.99996,0.52255,0.21223,-0.28037,0.99996,0.5188,0.21265,-0.2804,0.99995,0.54552,0.21998,-0.18662,0.99984,0.51262,0.2206,-0.20011,0.99993,0.53639,0.24544,-0.25883,0.99998,0.52413,0.24599,-0.26241,0.99999,0.56898,0.32398,-0.11476,0.99995,0.48518,0.31747,-0.13584,0.99997,0.58235,0.44609,-0.05455,0.98326,0.47224,0.44511,-0.10586,0.98348,0.58821,0.54959,-0.12899,0.98131,0.47372,0.55272,-0.17454,0.97665,0.59045,0.58655,-0.15214,0.96299,0.47178,0.58595,-0.19652,0.95526,0.58522,0.58435,-0.18054,0.96513,0.47864,0.5817,-0.22288,0.9571,0.5826,0.57441,-0.14138,0.95926,0.4811,0.57146,-0.18473,0.95051,0.55457,0.5501,0.00451,0.99983,0.50512,0.55216,-0.00461,0.99987,0.55308,0.70967,0.04386,0.99409,0.50756,0.70693,0.03052,0.99376,0.54598,0.84068,0.20296,0.99161,0.51317,0.83445,0.20052,0.99329,0.54165,0.85755,0.2118,0.94298,0.51713,0.85143,0.21109,0.92734,0.55923,0.89989,0.12525,0.98857,0.5009,0.89326,0.11219,0.98969,idle
166,0.53133,0.22807,-0.29352,0.99999,0.53594,0.21268,-0.2797,0.99995,0.53898,0.21274,-0.27965,0.99994,0.54215,0.21308,-0.27955,0.99993,0.52635,0.21206,-0.28135,0.99996,0.52244,0.21207,-0.28139,0.99996,0.51865,0.21248,-0.28142,0.99996,0.54551,0.21998,-0.18736,0.99984,0.51245,0.22057,-0.20114,0.99993,0.53635,0.24541,-0.26,0.99998,0.52409,0.24598,-0.26366,0.99999,0.56899,0.32403,-0.11479,0.99994,0.48515,0.31755,-0.13647,0.99997,0.58257,0.4464,-0.05483,0.98343,0.47231,0.44517,-0.1063,0.98393,0.58822,0.55023,-0.12881,0.98159,0.47419,0.55287,-0.17718,0.97718,0.59043,0.587,-0.15206,0.96334,0.4724,0.58606,-0.20024,0.95618,0.58522,0.58485,-0.18058,0.96545,0.47918,0.5817,-0.22602,0.95794,0.5826,0.57489,-0.14125,0.95972,0.4817,0.57147,-0.18767,0.95147,0.55461,0.5508,0.00496,0.99983,0.50516,0.55256,-0.00506,0.99987,0.55304,0.7097,0.0441,0.99378,0.50759,0.70697,0.03197,0.99369,0.54597,0.84033,0.21043,0.99127,0.51345,0.83452,0.20362,0.99307,0.54164,0.8569,0.22036,0.94319,0.51718,0.85142,0.21449,0.92574,0.55933,0.89988,0.1332,0.98814,0.50159,0.89304,0.11543,0.98925,idle
200,0.53129,0.22801,-0.29482,0.99999,0.53586,0.21257,-0.28078,0.99995,0.53892,0.21263,-0.28074,0.99994,0.5421,0.21297,-0.28067,0.99993,0.52625,0.21193,-0.28268,0.99996,0.52228,0.21196,-0.28272,0.99996,0.51848,0.21237,-0.28275,0.99996,0.54548,0.21997,-0.18723,0.99984,0.51223,0.22056,-0.20109,0.99993,0.53631,0.24537,-0.26017,0.99998,0.52402,0.24597,-0.26391,0.99999,0.56901,0.32403,-0.11441,0.99994,0.48513,0.3176,-0.136,0.99997,0.58271,0.44655,-0.05439,0.98355,0.47241,0.44528,-0.10619,0.98427,0.58822,0.55045,-0.12807,0.98193,0.47461,0.55315,-0.17812,0.97759,0.59041,0.58727,-0.15141,0.96384,0.47287,0.58633,-0.20175,0.95692,0.58522,0.58514,-0.18,0.96591,0.47965,0.58185,-0.2274,0.95861,0.5826,0.57522,-0.14054,0.96032,0.48224,0.57164,-0.18881,0.95225,0.5547,0.55159,0.00536,0.99982,0.50524,0.5532,-0.00545,0.99987,0.55295,0.70989,0.0468,0.9935,0.50759,0.70706,0.03265,0.99363,0.5459,0.84008,0.21578,0.99096,0.51347,0.83462,0.20585,0.99287,0.54156,0.85652,0.22626,0.9435,0.51717,0.85142,0.21686,0.92441,0.55933,0.89985,0.13863,0.98775,0.5019,0.89295,0.11805,0.98884,idle
233,0.53123,0.22796,-0.29165,0.99999,0.53577,0.21248,-0.27722,0.99995,0.53885,0.21254,-0.27719,0.99994,0.54206,0.21289,-0.27715,0.99993,0.52613,0.21182,-0.27925,0.99996,0.52212,0.21186,-0.27927,0.99996,0.51832,0.21227,-0.2793,0.99996,0.54546,0.21997,-0.18196,0.99984,0.51203,0.22054,-0.19529,0.99993,0.53627,0.24533,-0.25576,0.99998,0.52393,0.24595,-0.25943,0.99999,0.56901,0.32403,-0.11045,0.99994,0.48511,0.31761,-0.13042,0.99997,0.58279,0.44655,-0.05199,0.98378,0.47248,0.44527,-0.10142,0.98448,0.58828,0.55044,-0.12697,0.98237,0.47493,0.55313,-0.17573,0.97791,0.59041,0.58731,-0.15088,0.96458,0.47316,0.58634,-0.19993,0.95752,0.58524,0.58515,-0.17957,0.9666,0.47991,0.58183,-0.22591,0.95914,0.58262,0.57523,-0.13954,0.96112,0.48257,0.57162,-0.18671,0.95287,0.55478,0.55181,0.0053,0.99982,0.50531,0.5535,-0.00539,0.99987,0.55292,0.71002,0.04392,0.99329,0.50759,0.70763,0.03328,0.99358,0.5459,0.83988,0.21557,0.99067,0.51346,0.83468,0.20683,0.99269,0.54152,0.85609,0.22638,0.94342,0.51715,0.85142,0.21788,0.92325,0.55932,0.89986,0.13769,0.98739,0.50208,0.89288,0.11924,0.98851,idle
266,0.53118,0.22782,-0.28923,0.99999,0.5357,0.2123,-0.2747,0.99995,0.5388,0.21237,-0.27468,0.99994,0.54203,0.21272,-0.27464,0.99993,0.52603,0.21165,-0.2768,0.99996,0.52198,0.21172,-0.27682,0.99996,0.51818,0.21213,-0.27685,0.99996,0.54545,0.21995,-0.17933,0.99984,0.51185,0.22051,-0.19272,0.99994,0.53624,0.24525,-0.25313,0.99998,0.52387,0.2459,-0.25683,0.99999,0.56902,0.32402,-0.10913,0.99994,0.48508,0.31761,-0.12846,0.99997,0.58285,0.44656,-0.05221,0.98397,0.47252,0.44527,-0.1005,0.98465,0.58831,0.55047,-0.12778,0.98278,0.47527,0.55325,-0.17471,0.97809,0.5904,0.58739,-0.15183,0.96528,0.4736,0.58651,-0.19901,0.95785,0.58525,0.58517,-0.18055,0.96725,0.48055,0.5819,-0.22494,0.95942,0.58263,0.57527,-0.14038,0.96188,0.48327,0.57174,-0.18571,0.95323,0.55487,0.55185,0.00526,0.99982,0.5054,0.55363,-0.00535,0.99987,0.55291,0.71002,0.04292,0.99306,0.50755,0.70787,0.03354,0.9935,0.54589,0.83977,0.21458,0.9904,0.51342,0.83469,0.2037,0.99249,0.54147,0.85604,0.22496,0.9433,0.51706,0.85141,0.21436,0.92209,0.55935,0.90001,0.13642,0.987,0.50205,0.8929,0.11662,0.98813,idle
300,0.53115,0.22776,-0.28153,0.99999,0.53567,0.2122,-0.26713,0.99995,0.53879,0.21227,-0.26712,0.99994,0.54201,0.21262,-0.26708,0.99993,0.52596,0.21154,-0.26921,0.99996,0.52188,0.21162,-0.26923,0.99996,0.51808,0.21204,-0.26926,0.99996,0.54545,0.21993,-0.17305,0.99984,0.51173,0.22048,-0.1864,0.99994,0.53622,0.24521,-0.2459,0.99998,0.52383,0.24588,-0.24956,0.99999,0.56904,0.32399,-0.10505,0.99994,0.48507,0.31762,-0.12432,0.99997,0.58291,0.44658,-0.04997,0.98415,0.4726,0.44526,-0.0983,0.98472,0.58832,0.55048,-0.12514,0.98325,0.47567,0.5533,-0.17182,0.97812,0.59041,0.58742,-0.1491,0.96613,0.47403,0.58655,-0.19606,0.95797,0.58524,0.58518,-0.17767,0.96804,0.48117,0.58199,-0.22183,0.95948,0.58261,0.57528,-0.13764,0.96279,0.48392,0.5719,-0.18283,0.95337,0.55498,0.55193,0.00531,0.99982,0.50551,0.55376,-0.0054,0.99987,0.55292,0.71002,0.04306,0.99281,0.50748,0.70789,0.03347,0.99341,0.54587,0.83977,0.20765,0.99017,0.51336,0.83467,0.19805,0.99232,0.54135,0.85606,0.21715,0.94355,0.51688,0.85139,0.20813,0.92125,0.5594,0.9003,0.13038,0.98666,0.50203,0.89289,0.1121,0.98779,idle
333,0.53115,0.22775,-0.27472,0.99999,0.53566,0.21219,-0.26033,0.99995,0.53879,0.21226,-0.26032,0.99994,0.54201,0.21261,-0.26028,0.99993,0.52596,0.21152,-0.2625,0.99996,0.52188,0.21159,-0.26252,0.99996,0.51806,0.21201,-0.26255,0.99996,0.54545,0.21993,-0.16697,0.99984,0.51171,0.22047,-0.18087,0.99994,0.53622,0.2452,-0.23938,0.99998,0.52383,0.24588,-0.2432,0.99999,0.56904,0.32399,-0.10062,0.99994,0.48507,0.31762,-0.12004,0.99997,0.5829,0.44658,-0.04688,0.98428,0.47265,0.44523,-0.09507,0.98485,0.58836,0.55047,-0.12157,0.98368,0.47585,0.55349,-0.16687,0.97818,0.59047,0.58741,-0.1452,0.96692,0.47432,0.58671,-0.19076,0.95806,0.58525,0.58518,-0.17383,0.96879,0.48152,0.58252,-0.21622,0.95953,0.58262,0.57529,-0.13411,0.96366,0.4842,0.57253,-0.17777,0.95351,0.555,0.55191,0.00541,0.99982,0.50555,0.55376,-0.00549,0.99987,0.55291,0.70964,0.04356,0.99259,0.50738,0.7074,0.03224,0.99336,0.54583,0.83975,0.19996,0.99,0.51315,0.83478,0.18912,0.99219,0.54118,0.85606,0.20878,0.94395,0.51655,0.85147,0.19849,0.92051,0.55936,0.90039,0.12194,0.98641,0.50186,0.89301,0.10287,0.98751,idle
